Wavelength (nm),Sum(calc),Ti I (1.8e-2),Ti II (9.6e-1),Ti III (2.1e-2)
227.563,1.209e-1,1.209e-1,,1.270e-12
227.568,9.075e-1,9.075e-1,,1.272e-12
227.573,6.188e+0,6.188e+0,,1.274e-12
227.578,3.831e+1,3.831e+1,,1.275e-12
227.583,2.154e+2,2.154e+2,,1.277e-12
227.588,1.099e+3,1.099e+3,,1.278e-12
227.593,5.097e+3,5.097e+3,,1.280e-12
227.598,2.145e+4,2.145e+4,,1.282e-12
227.603,8.200e+4,8.200e+4,,1.283e-12
227.608,2.846e+5,2.846e+5,,1.285e-12
227.613,8.969e+5,8.969e+5,,1.287e-12
227.618,2.567e+6,2.567e+6,,1.288e-12
227.623,6.670e+6,6.670e+6,,1.290e-12
227.628,1.574e+7,1.574e+7,,1.292e-12
227.633,3.372e+7,3.372e+7,,1.293e-12
227.638,6.561e+7,6.561e+7,,1.295e-12
227.643,1.159e+8,1.159e+8,,1.297e-12
227.648,1.860e+8,1.860e+8,,1.298e-12
227.653,2.709e+8,2.709e+8,,1.300e-12
227.658,3.584e+8,3.584e+8,,1.302e-12
227.663,4.304e+8,4.304e+8,,1.303e-12
227.668,4.695e+8,4.695e+8,,1.305e-12
227.673,4.650e+8,4.650e+8,,1.307e-12
227.678,4.182e+8,4.182e+8,,1.308e-12
227.683,3.415e+8,3.415e+8,,1.310e-12
227.688,2.532e+8,2.532e+8,,1.312e-12
227.693,1.705e+8,1.705e+8,,1.313e-12
227.698,1.043e+8,1.043e+8,,1.315e-12
227.703,5.788e+7,5.788e+7,,1.317e-12
227.708,2.918e+7,2.918e+7,,1.318e-12
227.713,1.336e+7,1.336e+7,,1.320e-12
227.718,5.553e+6,5.553e+6,,1.322e-12
227.723,2.096e+6,2.096e+6,,1.323e-12
227.728,7.185e+5,7.185e+5,,1.325e-12
227.733,2.236e+5,2.236e+5,,1.326e-12
227.738,6.320e+4,6.320e+4,,1.328e-12
227.743,1.622e+4,1.622e+4,,1.330e-12
227.748,3.779e+3,3.779e+3,,1.331e-12
227.753,7.997e+2,7.997e+2,,1.333e-12
227.758,1.537e+2,1.537e+2,,1.335e-12
227.763,2.681e+1,2.681e+1,,1.336e-12
227.768,4.248e+0,4.248e+0,,1.338e-12
227.773,6.111e-1,6.111e-1,,1.340e-12
227.778,7.983e-2,7.983e-2,,1.341e-12
227.783,9.469e-3,9.469e-3,,1.343e-12
227.788,1.020e-3,1.020e-3,,1.345e-12
227.793,9.976e-5,9.976e-5,,1.346e-12
227.798,8.860e-6,8.860e-6,,1.348e-12
227.803,7.146e-7,7.146e-7,,1.350e-12
227.808,5.233e-8,5.233e-8,,1.351e-12
227.813,3.480e-9,3.480e-9,,1.353e-12
227.818,2.101e-10,2.101e-10,,1.355e-12
227.848,1.326e-10,1.326e-10,,1.365e-12
227.853,2.221e-9,2.221e-9,,1.366e-12
227.858,3.379e-8,3.379e-8,,1.368e-12
227.863,4.669e-7,4.669e-7,,1.370e-12
227.868,5.859e-6,5.859e-6,,1.371e-12
227.873,6.678e-5,6.678e-5,,1.373e-12
227.878,6.915e-4,6.915e-4,,1.375e-12
227.883,6.502e-3,6.502e-3,,1.376e-12
227.888,5.554e-2,5.554e-2,,1.378e-12
227.893,4.309e-1,4.309e-1,,1.379e-12
227.898,3.037e+0,3.037e+0,,1.381e-12
227.903,1.944e+1,1.944e+1,,1.383e-12
227.908,1.130e+2,1.130e+2,,1.384e-12
227.913,5.967e+2,5.967e+2,,1.386e-12
227.918,2.862e+3,2.862e+3,,1.388e-12
227.923,1.247e+4,1.247e+4,,1.389e-12
227.928,4.933e+4,4.933e+4,,1.391e-12
227.933,1.773e+5,1.773e+5,,1.393e-12
227.938,5.788e+5,5.788e+5,,1.394e-12
227.943,1.716e+6,1.716e+6,,1.396e-12
227.948,4.622e+6,4.622e+6,,1.398e-12
227.953,1.131e+7,1.131e+7,,1.399e-12
