Wavelength (nm),Sum(calc),Al I (4.9e-2),Al II (9.5e-1),Al III (7.0e-4)
212.242,5.177e+0,5.177e+0,2.944e-15,1.818e-22
212.247,3.940e+1,3.940e+1,2.947e-15,1.818e-22
212.252,2.683e+2,2.683e+2,2.949e-15,1.817e-22
212.257,1.636e+3,1.636e+3,2.951e-15,1.817e-22
212.262,8.925e+3,8.925e+3,2.953e-15,1.816e-22
212.267,4.358e+4,4.358e+4,2.955e-15,1.816e-22
212.272,1.905e+5,1.905e+5,2.957e-15,1.815e-22
212.277,7.452e+5,7.452e+5,2.960e-15,1.815e-22
212.282,2.609e+6,2.609e+6,2.962e-15,1.814e-22
212.287,8.177e+6,8.177e+6,2.964e-15,1.814e-22
212.292,2.294e+7,2.294e+7,2.966e-15,1.813e-22
212.297,5.758e+7,5.758e+7,2.968e-15,1.813e-22
212.302,1.294e+8,1.294e+8,2.971e-15,1.813e-22
212.307,2.602e+8,2.602e+8,2.973e-15,1.812e-22
212.312,4.683e+8,4.683e+8,2.975e-15,1.812e-22
212.317,7.544e+8,7.544e+8,2.977e-15,1.811e-22
212.322,1.088e+9,1.088e+9,2.979e-15,1.811e-22
212.327,1.404e+9,1.404e+9,2.981e-15,1.810e-22
212.332,1.622e+9,1.622e+9,2.984e-15,1.810e-22
212.337,1.676e+9,1.676e+9,2.986e-15,1.809e-22
212.342,1.551e+9,1.551e+9,2.988e-15,1.809e-22
212.347,1.285e+9,1.285e+9,2.990e-15,1.808e-22
212.353,8.851e+8,8.851e+8,2.993e-15,1.808e-22
212.358,5.743e+8,5.743e+8,2.995e-15,1.807e-22
212.363,3.335e+8,3.335e+8,2.997e-15,1.807e-22
212.368,1.734e+8,1.734e+8,2.999e-15,1.806e-22
212.373,8.066e+7,8.066e+7,3.001e-15,1.806e-22
212.378,3.359e+7,3.359e+7,3.004e-15,1.805e-22
212.383,1.252e+7,1.252e+7,3.006e-15,1.805e-22
212.388,4.176e+6,4.176e+6,3.008e-15,1.804e-22
212.393,1.247e+6,1.247e+6,3.010e-15,1.804e-22
212.398,3.331e+5,3.331e+5,3.012e-15,1.803e-22
212.403,7.968e+4,7.968e+4,3.015e-15,1.803e-22
