Wavelength (nm),Sum(calc),Cu I (3.0e-1),Cu II (7.0e-1)
209.44,4.560e+4,1.001e-7,4.560e+4
209.46,2.178e+4,9.978e-8,2.178e+4
209.47,1.415e+4,9.963e-8,1.415e+4
209.49,5.281e+3,9.934e-8,5.281e+3
209.51,1.672e+3,9.905e-8,1.672e+3
209.52,8.849e+2,9.891e-8,8.849e+2
209.54,2.191e+2,9.862e-8,2.191e+2
209.56,4.609e+1,9.833e-8,4.609e+1
209.57,2.008e+1,9.819e-8,2.008e+1
209.59,5.304e+0,9.790e-8,5.304e+0
209.61,1.456e+1,9.761e-8,1.456e+1
209.62,3.499e+1,9.747e-8,3.499e+1
209.64,1.881e+2,9.718e-8,1.881e+2
209.66,8.639e+2,9.689e-8,8.639e+2
209.67,1.742e+3,9.675e-8,1.742e+3
209.69,6.274e+3,9.646e-8,6.274e+3
209.71,1.922e+4,9.617e-8,1.922e+4
209.72,3.165e+4,9.602e-8,3.165e+4
209.74,7.600e+4,9.574e-8,7.600e+4
209.76,1.552e+5,9.545e-8,1.552e+5
209.77,2.087e+5,9.530e-8,2.087e+5
209.79,3.341e+5,9.501e-8,3.341e+5
209.81,4.547e+5,9.473e-8,4.547e+5
209.82,4.991e+5,9.458e-8,4.991e+5
209.84,5.325e+5,9.429e-8,5.325e+5
209.86,4.829e+5,9.400e-8,4.829e+5
209.87,4.327e+5,9.386e-8,4.327e+5
209.89,3.075e+5,9.357e-8,3.075e+5
209.91,1.857e+5,9.328e-8,1.857e+5
209.92,1.358e+5,9.314e-8,1.358e+5
209.94,6.429e+4,9.285e-8,6.429e+4
209.96,2.586e+4,9.256e-8,2.586e+4
209.97,1.543e+4,9.242e-8,1.543e+4
209.99,4.862e+3,9.213e-8,4.862e+3
210.01,1.302e+3,9.184e-8,1.302e+3
210.02,6.337e+2,9.169e-8,6.337e+2
210.04,1.329e+2,9.141e-8,1.329e+2
210.06,2.369e+1,9.112e-8,2.369e+1
210.07,9.406e+0,9.097e-8,9.406e+0
210.09,1.313e+0,9.068e-8,1.313e+0
210.11,1.558e-1,9.040e-8,1.558e-1
210.12,5.131e-2,9.025e-8,5.131e-2
210.14,2.015e-2,8.996e-8,2.015e-2
210.16,2.264e-1,8.967e-8,2.264e-1
210.17,8.130e-1,8.953e-8,8.130e-1
210.19,9.306e+0,8.924e-8,9.306e+0
210.21,9.055e+1,8.895e-8,9.055e+1
210.22,2.658e+2,8.881e-8,2.658e+2
210.24,2.027e+3,8.852e-8,2.027e+3
210.26,1.314e+4,8.823e-8,1.314e+4
210.27,3.147e+4,8.809e-8,3.147e+4
